 # Kondensator:
 # =========== 
 # Gitter:           25  x           25  Punkte
 # Kondensatorposition: z=           5  Radius: r=           5
 # Kondensatorspannung: V=   1000.0000000000000     
 # Anfangspotential: Phi0=   0.0000000000000000     
 # Relaxationsparameter: Omega=   1.0000000000000000     
 # Maximale Abweichung: eps=   9.9999997764825821     

 #Iteration      maximale Abweichung                  Energie
 #_________ ________________________ ________________________
           1   321.63889997866420        10575294.306162030     
           2   185.18630240483540        8563773.7526707854     
           3   115.67338073386264        7606246.2763695940     
           4   80.951447734126347        7027932.1613140432     
           5   69.265501841728906        6636023.3816640731     
           6   57.114632283377205        6355281.7652653055     
           7   47.037173961966118        6148106.1759211738     
           8   38.247973629871183        5991813.7041004645     
           9   31.807236835406258        5871413.5491127251     
          10   26.645204375309618        5776678.5844889767     
          11   21.964452091818060        5700561.2674189517     
          12   18.171950650038525        5638175.1808652328     
          13   16.125244564375862        5586102.1786602428     
          14   14.381332829437326        5541922.4858856164     
          15   12.890629957074452        5503898.4779452402     
          16   11.610857663244190        5470762.5326318871     
          17   10.630830567284647        5441574.4266704721     
          18   9.7971948195638561        5415624.9263139255     
